Player,Squad,Pos,Age,Min,90s,Gls,Ast,TklW,Gls_per90,Ast_per90,xG_per90,npxG_per90,xAG_per90,KP_per90,PrgP_per90,Succ_per90,PrgC_per90,TklW_per90,Int_per90,SCA_per90,GCA_per90,SoT%,Cmp%
Ferland Mendy,Real Madrid,DF,27,1351,15.0,0,1,12,0.0,0.06666666666666667,0.02,0.02,0.04,0.8666666666666667,3.7333333333333334,1.2666666666666666,1.5333333333333334,0.8,0.9333333333333333,1.8666666666666667,0.13333333333333333,0.0,92.1
Fernando,Almería,GK,32,3285,36.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0273972602739726,0.0,0.0,0.0273972602739726,0.1095890410958904,0.0,0.0,70.0
Fernando Calero,Espanyol,"DF,MF",26,1611,17.9,0,1,29,0.0,0.0558659217877095,0.03910614525139665,0.03910614525139665,0.0335195530726257,0.223463687150838,3.575418994413408,0.0558659217877095,0.5027932960893855,1.6201117318435756,0.7262569832402235,1.229050279329609,0.223463687150838,28.6,80.7
Fernando Medrano,Celta Vigo,DF,22,13,0.1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,100.0
Fernando Niño,Villarreal,"MF,FW",21,22,0.2,0,0,0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,100.0
Fernando Pacheco,Almería,GK,30,90,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5
Ferrán Torres,Barcelona,"FW,MF",22,1392,15.5,4,2,7,0.25806451612903225,0.12903225806451613,0.31612903225806455,0.264516129032258,0.264516129032258,1.6129032258064515,2.838709677419355,1.935483870967742,2.774193548387097,0.45161290322580644,0.1935483870967742,3.225806451612903,0.1935483870967742,29.7,75.9
Fidel,Elche,"MF,FW",32,1714,19.0,3,2,10,0.15789473684210525,0.10526315789473684,0.12105263157894736,0.07894736842105263,0.12105263157894736,1.4736842105263157,7.315789473684211,1.6842105263157894,2.789473684210526,0.5263157894736842,0.2631578947368421,3.473684210526316,0.21052631578947367,15.4,70.3
Filip Jørgensen,Villarreal,GK,20,180,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.1
Florian Lejeune,Rayo Vallecano,DF,31,2565,28.5,4,0,17,0.14035087719298245,0.0,0.09824561403508772,0.09824561403508772,0.010526315789473684,0.2807017543859649,2.807017543859649,0.14035087719298245,0.2807017543859649,0.5964912280701754,0.5263157894736842,0.7017543859649122,0.03508771929824561,34.1,78.3
Fran Beltrán,Celta Vigo,MF,23,2855,31.7,0,2,22,0.0,0.06309148264984227,0.028391167192429023,0.028391167192429023,0.05362776025236593,0.7570977917981073,4.353312302839117,0.5047318611987381,0.8517350157728707,0.694006309148265,1.6719242902208202,2.082018927444795,0.12618296529968454,8.3,88.3
Fran Delgado,Betis,DF,21,12,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5
Fran Garcia,Rayo Vallecano,DF,22,3407,37.9,2,3,54,0.052770448548812667,0.079155672823219,0.0316622691292876,0.0316622691292876,0.04221635883905014,0.7651715039577837,3.878627968337731,0.8179419525065963,4.828496042216359,1.424802110817942,1.1609498680738786,1.8733509234828496,0.237467018469657,36.7,78.5
Francis Coquelin,Villarreal,MF,31,748,8.3,1,0,13,0.12048192771084336,0.0,0.12048192771084336,0.12048192771084336,0.12048192771084336,0.7228915662650601,3.4939759036144573,0.24096385542168672,1.325301204819277,1.5662650602409638,1.0843373493975903,1.0843373493975903,0.0,14.3,85.2
Francisco Mwepu,Cádiz,FW,22,21,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Francisco Perez,Valencia,"FW,MF",19,141,1.6,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.125,4.375,0.625,0.0,0.625,0.0,0.0,76.6
Francisco Portillo,Almería,"MF,FW",32,722,8.0,2,1,6,0.25,0.125,0.0875,0.0875,0.125,1.625,9.25,1.125,2.0,0.75,0.875,3.25,0.25,40.0,79.5
Franck Kessié,Barcelona,MF,25,990,11.0,1,1,9,0.09090909090909091,0.09090909090909091,0.16363636363636364,0.16363636363636364,0.06363636363636363,0.7272727272727273,3.5454545454545454,0.8181818181818182,1.2727272727272727,0.8181818181818182,1.0909090909090908,1.9090909090909092,0.18181818181818182,20.0,85.6
Franco Cervi,Celta Vigo,"MF,DF",28,1894,21.0,0,4,46,0.0,0.19047619047619047,0.10952380952380951,0.10952380952380951,0.1285714285714286,1.2857142857142858,3.2857142857142856,1.0,2.142857142857143,2.1904761904761907,1.7142857142857142,2.9047619047619047,0.23809523809523808,26.1,70.9
Franco Russo,Mallorca,DF,27,145,1.6,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.625,1.875,0.0,0.0,0.0,76.7
